str_no_string|NO STRING!
str_npc19_backstory_later|我 想 我 已 经 掌 握 了 这 个 地 方 。 尽 管 我 去 过 日 本 很 多 次 ， 但 一 切 看 起 来 都 不 一 样 ， 这 仍 然 让 我 感 到 不 安 。 
str_npc20_backstory_later|我 想 我 暂 时 无 法 忍 受 大 海 ， 所 以 我 必 须 在 陆 地 上 找 工 作 
str_npc21_backstory_later|我 馋 肉 馋 的 要 命 ， 你 有 活 给 我 吗 ？ 
str_npc22_backstory_later|在 我 回 家 之 前 ， 我 还 在 日 本 游 荡 。 我 想 我 会 待 一 年 左 右 。 
str_npc23_backstory_later|在 返 回 美 国 前 ， 我 仍 在 日 本 各 地 游 历 。 我 想 我 还 会 再 停 留 一 年 左 右 。 
str_npc1_backstory_response_1|你 现 在 想 怎 么 办 ？ 
str_npc2_backstory_response_1|很 好 ， 或 许 我 应 该 提 供 给 你 一 份 工 作 ， 你 能 战 斗 吗 ？ 
str_npc3_backstory_response_1|当 然 ， 我 曾 经 带 领 一 支 佣 兵 队 。 
str_npc4_backstory_response_1|我 就 率 领 着 一 支 部 队 ， 而 且 我 很 乐 意 多 一 个 帮 手 。 
str_npc5_backstory_response_1|就 是 这 样 ， 我 可 以 提 供 给 你 你 所 需 要 的 ！ 
str_npc6_backstory_response_1|嗯 ， 关 于 你 丈 夫 的 事 情 我 表 示 惋 惜 
str_npc7_backstory_response_1|嗯 …… 你 想 要 一 份 工 作 吗 ？ 
str_npc8_backstory_response_1|我 可 以 给 你 一 个 机 会 ， 说 不 准 我 的 人 会 信 你 那 一 套 呢 ？ 
str_npc9_backstory_response_1|或 许 你 会 愿 意 加 入 我 们 一 段 时 间 ？ 
str_npc10_backstory_response_1|如 果 你 想 找 份 工 作 的 话 ， 我 很 乐 意 雇 用 熟 练 的 战 士 。 
str_npc11_backstory_response_1|或 许 吧 ， 但 是 我 怎 么 才 能 知 道 我 的 马 匹 中 没 有 贼 赃 呢 ？ 
str_npc12_backstory_response_1|很 好 ， 你 可 以 与 我 们 同 行 ， 当 然 ， 也 与 我 们 一 起 战 斗 。 
str_npc13_backstory_response_1|我 很 乐 意 我 们 的 队 伍 多 一 份 力 量 。 
str_npc14_backstory_response_1|我 很 乐 意 雇 用 你 。 
str_npc15_backstory_response_1|你 要 去 哪 里 ？ 
str_npc16_backstory_response_1|或 许 我 在 找 ， 你 会 做 什 么 ？ 
str_npc17_backstory_response_1|你 为 什 么 不 加 入 我 的 家 臣 团 。 
str_npc18_backstory_response_1|有 没 有 考 虑 过 雇 佣 兵 的 工 作 ？ 这 可 能 适 合 你 。 
str_npc19_backstory_response_1|你 明 白 吗 ？ 俺 也 一 样 。 
str_npc20_backstory_response_1|用 你 的 战 斗 技 能 为 我 在 陆 地 上 服 役 怎 么 样 ？ 
str_npc21_backstory_response_1|跟 我 走 ， 或 许 可 以 从 别 人 那 找 到 一 些 肉 。 
str_npc22_backstory_response_1|你 想 多 看 看 日 本 吗 ？ 作 为 一 个 征 服 者 ？ 
str_npc23_backstory_response_1|嗯 ， 那 我 能 雇 佣 你 吗 ？ 
str_npc1_backstory_response_2|我 不 会 做 那 样 的 事 的 ， 我 有 比 帮 助 落 魄 武 士 更 好 的 事 情 要 去 做 。 
str_npc2_backstory_response_2|真 糟 糕 ， 朋 友 ， 祝 你 好 运 。 
str_npc3_backstory_response_2|滚 回 你 的 国 家 。 
str_npc4_backstory_response_2|很 抱 歉 我 没 有 听 说 过 。 
str_npc5_backstory_response_2|唉 …… 我 没 有 空 和 走 私 犯 或 者 可 能 是 海 盗 的 人 在 一 起 。 
str_npc6_backstory_response_2|(离 开 她 的 视 线 ， 慢 慢 走 开 ， 我 希 望 混 战 里 杀 的 人 没 有 她 的 丈 夫 )
str_npc7_backstory_response_2|说 实 话 ， 我 很 喜 欢 这 个 地 方 ， 祝 你 好 运 。 
str_npc8_backstory_response_2|耶 稣 ？ 能 吃 吗 ？ 我 不 信 那 些 。 
str_npc9_backstory_response_2|我 可 有 不 少 好 哥 们 都 是 些 流 氓 ， 小 妞 ， 我 们 走 着 瞧 。 
str_npc10_backstory_response_2|当 你 醒 来 的 时 候 ， 你 会 发 现 你 的 脑 袋 已 经 被 绳 子 紧 紧 的 勒 住 ， 这 是 你 的 报 应 。 等 着 吧 。 
str_npc11_backstory_response_2|非 常 有 趣 ， 夫 人 ， 但 是 我 还 有 活 要 干 。 
str_npc12_backstory_response_2|抱 歉 ， 我 没 法 雇 佣 更 多 的 人 了 。 
str_npc13_backstory_response_2|抱 歉 ， 我 没 法 替 你 做 什 么 。 
str_npc14_backstory_response_2|如 果 我 听 说 了 什 么 ， 我 会 告 诉 你 的 ， 放 心 。 
str_npc15_backstory_response_2|抱 歉 ， 我 的 队 伍 已 经 满 员 了 。 
str_npc16_backstory_response_2|抱 歉 ， 听 起 来 你 会 是 个 大 麻 烦 。 
str_npc17_backstory_response_2|我 不 知 道 该 怎 么 和 你 说 。 
str_npc18_backstory_response_2|一 路 顺 风 ， 朋 友 。 
str_npc19_backstory_response_2|你 说 啥 ？ 听 不 懂 。 
str_npc20_backstory_response_2|海 盗 ? 呸 。 
str_npc21_backstory_response_2|不 ， 就 不 。 
str_npc22_backstory_response_2|那 样 很 好 。 
str_npc23_backstory_response_2|抱 歉 ， 我 没 法 雇 佣 更 多 的 人 了 。 
str_npc1_signup|干 什 么 ？ 我 不 如 当 浪 人 ！ 从 阶 层 上 来 说 ， 他 们 比 世 袭 的 人 还 下 等 ， 对 不 起 冒 犯 了 ， 是 像 我 这 样 的 前 世 世 袭 家 臣 。 但 实 际 上 他 们 有 晋 升 的 前 景 ， 更 重 要 的 是 他 们 还 有 自 由 身 
str_npc2_signup|嗯 ， 我 的 职 责 之 一 是 ， 我 是 说 ， 是 ， 教 主 家 小 妾 剑 术 。 
str_npc3_signup|是 吗 ？ 那 么 就 不 会 有 人 对 我 鸡 蛋 里 挑 骨 头 了 ， 我 很 乐 意 加 入 。 
str_npc4_signup|太 好 了 ， 我 期 待 着 帮 助 你 打 败 你 的 敌 人 。 
str_npc5_signup|啊 ， 这 可 是 一 个 再 慷 慨 不 过 的 提 议 了 ！ 
str_npc6_signup|是 的 ！ 你 一 定 是 天 主 的 使 者 ， 求 你 带 我 走 ， 带 我 远 离 黑 暗 ！ 
str_npc7_signup|也 许 吧 。 我 当 然 需 要 用 钱 。 
str_npc8_signup|真 的 吗 ？ 那 么 我 就 接 受 你 的 条 件 。 
str_npc9_signup|我 会 为 此 很 高 兴 的 ， {先 生 /夫 人 }
str_npc10_signup|你 确 定 吗 ？ 现 在 ？ 好 吧 ， 这 比 我 被 报 复 身 首 分 离 横 尸 街 头 要 好 太 多 了 
str_npc11_signup|{大 人 /女 士 } 你 怎 么 能 这 样 想 我 ,和 那 些 冤 屈 我 的 人 一 样 ， 我 会 展 现 我 的 实 力 来 报 答 你 的 恩 情 的 
str_npc12_signup|就 像 我 说 的 ， 我 是 一 个 行 脚 的 隐 士 。 并 不 是 那 些 在 寺 庙 里 受 人 供 奉 的 佛 爷 ， 我 不 在 乎 弄 脏 我 的 手 
str_npc13_signup|是 吗 ？ 你 会 发 现 招 募 了 我 有 多 明 智 。 
str_npc14_signup|我 很 乐 意 与 你 并 肩 而 行 ， 哪 怕 只 是 小 小 的 一 会 儿 ， 我 有 些 关 于 酬 劳 和 分 配 战 利 品 的 事 情 要 和 你 谈 谈 。 
str_npc15_signup|可 能 是 琉 球 也 可 能 是 中 国 。 但 是 我 不 会 放 弃 任 何 赚 钱 的 机 会 ， 这 样 我 才 能 不 至 于 两 手 空 空 的 回 家 。 如 果 你 能 提 供 食 物 并 与 我 分 享 一 些 战 利 品 ， 我 将 很 乐 意 为 你 作 战 。 
str_npc16_signup|好 吧 ， {先 生 /夫 人 }， 让 我 告 诉 你 ， 或 许 我 大 字 不 识 ， 但 我 知 道 命 中 心 脏 最 快 的 方 法 是 从 第 四 和 第 五 根 肋 骨 之 间 刺 进 去 。 如 何 ？ 
str_npc17_signup|对 ， 对 这 是 个 好 主 意 。 我 可 以 为 我 的 重 返 家 乡 获 得 宝 贵 的 联 系 和 经 验 ！ 
str_npc18_signup|雇 佣 兵 ？ 我 曾 经 在 意 大 利 和 兵 团 长 里 共 事 过 ， 你 知 道 吗 ？ 有 一 天 我 会 告 诉 你 那 个 美 丽 的 国 家 。 
str_npc19_signup|顺 便 说 一 下 ， 我 叫 乔 治 。 我 来 自 一 个 遥 远 的 大 陆 。 我 在 说 什 么 ？ 嗨 呀 ， 操 蛋 ， 别 管 我 那 些 瞎 扯 淡 了 
str_npc20_signup|你 想 让 我 做 你 的 同 伴 ， 嗯 ？ 我 敢 肯 定 你 想 和 我 住 一 个 帐 篷 哈 哈 ！ 
str_npc21_signup|雇 佣 兵 ？ 很 多 战 斗 。 。 。 和 食 物 
str_npc22_signup|哈 哈 ！ 在 今 天 创 造 一 个 新 的 平 泉 城 ， 算 我 一 个 ！ 
str_npc23_signup|你 想 雇 佣 我 ？ 那 你 真 是 走 运 。 
str_npc1_signup_2|关 于 剑 术 我 非 常 精 通 ， 放 弃 雇 佣 我 这 样 有 经 验 老 兵 的 机 会 ， 那 不 是 明 智 的 选 择 ， 而 且 你 不 是 还 指 挥 着 自 己 的 家 臣 团 吗 ？ 
str_npc2_signup_2|但 是 我 跑 的 很 快 ， 还 是 带 着 一 把 刀 的 情 况 下 
str_npc3_signup_2|你 很 快 就 会 发 现 我 会 成 为 你 队 伍 中 最 有 价 值 的 一 员 。 我 精 通 船 只 建 造 ， 海 洋 贸 易 以 及 火 器 
str_npc4_signup_2|但 是 请 注 意 ， 作 为 一 名 僧 侣 ， 我 希 望 处 于 指 挥 位 置 ， 而 不 是 被 视 为 普 通 的 足 轻 之 一 。 
str_npc5_signup_2|我 不 会 背 叛 你 ， 前 提 是 你 尽 了 你 的 义 务 ， 供 我 吃 喝 ， 给 我 钱 花 ， 不 把 我 这 悲 惨 的 身 躯 投 入 到 毫 无 胜 算 的 战 争 中 
str_npc6_signup_2|我 对 弓 箭 很 在 行 ， 但 是 我 请 求 你 ， {先 生 /夫 人 }。 我 希 望 用 我 的 武 艺 来 保 护 那 些 无 辜 ， 纯 洁 无 法 自 保 的 人 们 ， 而 不 是 像 那 些 杀 害 我 丈 夫 和 其 他 许 多 人 的 强 盗 那 样 成 为 一 个 普 通 的 强 盗 。 
str_npc7_signup_2|不 过 ， 告 诉 你 的 人 我 对 蠢 货 和 发 情 的 畜 生 没 有 什 么 耐 心 ， 任 何 对 我 做 出 不 礼 貌 举 动 的 家 伙 都 会 在 他 们 的 喉 咙 上 找 到 一 支 箭 。 
str_npc8_signup_2|我 受 过 大 学 教 育 ， 游 历 广 泛 ， 我 可 以 给 你 们 的 团 队 带 来 很 多 ， 不 仅 仅 是 传 教 。 
str_npc9_signup_2|我 是 宫 廷 里 的 大 小 姐 ， 但 我 从 出 生 起 就 接 受 了 和 一 般 大 男 孩 一 样 的 剑 术 训 练 。 我 承 认 你 是 个 出 身 比 我 低 的 人 ， 对 我 来 说 假 如 在 一 个 有 经 验 的 长 官 底 下 服 务 也 没 有 什 么 ， 当 然 ， 你 这 家 伙 不 会 和 我 很 亲 密 。 我 想 那 不 会 成 问 题 ？ 
str_npc10_signup_2|你 不 会 后 悔 让 我 加 入 的 ， {老 兄 /大 姐 }。 我 用 上 短 刀 如 同 死 神 亲 临 ， 一 把 漂 亮 的 武 器 ， 它 可 以 直 接 刺 穿 武 士 的 铠 甲 ， 让 他 们 血 溅 当 场 。 并 请 原 谅 我 ， 我 绝 不 向 出 身 高 贵 的 人 献 媚 。 
str_npc11_signup_2|我 穿 越 过 很 多 崎 岖 不 平 的 乡 村 ， 而 所 用 的 时 间 都 很 短 。 我 还 会 追 踪 敌 人 的 留 下 的 痕 迹 ， 对 于 地 形 我 也 有 独 特 的 见 解 ， 你 觉 得 怎 么 样 ？ 
str_npc12_signup_2|我 可 以 治 疗 各 种 手 部 的 创 伤 ， 在 当 隐 士 之 前 ， 我 做 过 山 伏 。 所 以 你 可 以 肯 定 ， 我 经 历 过 各 种 创 伤 和 苦 难 活 了 下 来 ， 所 以 就 有 治 疗 的 方 法 
str_npc13_signup_2|剑 ， 薙 刀 ， 长 枪 ， 我 所 掌 握 的 这 些 武 器 的 技 艺 是 铸 成 伟 大 史 诗 的 原 料 。 我 们 会 一 起 演 示 这 些 技 艺 ， 在 节 日 和 篝 火 、 肮 脏 的 小 客 栈 、 公 家 和 武 家 的 豪 宅 中 。 这 将 在 未 来 的 许 多 代 人 口 中 重 述 
str_npc14_signup_2|我 是 一 名 熟 练 的 剑 客 ， 我 也 可 以 教 你 的 手 下 格 斗 。 但 是 我 提 醒 你 我 不 喜 欢 受 命 于 一 个 对 {他 的 /她 的 }部 下 纪 律 松 懈 的 领 导 者 ， 因 为 人 们 到 头 来 是 不 会 尊 重 一 个 弱 者 的 。 
str_npc15_signup_2|射 箭 是 我 的 专 长 ， 但 如 果 有 需 要 的 话 ， 我 在 近 战 中 也 可 以 很 好 的 保 护 自 己 
str_npc16_signup_2|除 了 刺 杀 以 外 ， 我 还 懂 得 剑 术 ， 而 且 我 像 水 银 一 样 灵 活 。 我 保 证 ， 你 会 在 实 战 中 发 现 我 非 常 有 用 
str_npc17_signup_2|他 们 会 后 悔 把 我 赶 出 去 的 那 一 天 。 即 使 是 明 朝 也 无 法 从 血 流 成 河 中 拯 救 他 们 。 。 。 
str_npc18_signup_2|我 自 己 实 际 上 并 不 是 一 名 雇 佣 兵 ， 我 只 教 部 队 高 贵 的 队 长 历 史 和 地 理 。 但 这 可 能 很 有 趣 ！ 我 以 前 也 不 得 不 保 护 自 己 ， 所 以 我 知 道 如 何 绕 过 刀 锋 。 
str_npc19_signup_2|现 在 ， 听 这 句 
str_npc20_signup_2|哦 ， 天 哪 。 我 看 见 你 满 脸 通 红 。 啧 啧 啧 啧 ， 放 心 ， 亲 爱 的 ， 我 过 了 如 狼 似 虎 的 年 纪 了 ， 你 安 全 的 很 
str_npc21_signup_2|额 ， 从 敌 人 的 东 西 里 有 肉 吗 ？ 你 是 说 在 我 们 洗 劫 敌 人 以 后 给 我 找 ， 对 吧 。 。 。 
str_npc22_signup_2|我 知 道 你 不 是 完 全 认 真 的 ， 但 如 果 我 们 能 做 到 这 一 点 ， 我 想 邀 请 我 的 部 落 在 这 里 定 居 一 些 土 地 。 。 。 对 他 们 中 的 大 多 数 人 来 说 ， 这 将 是 一 次 向 夷 族 领 土 的 迁 移 ， 但 对 我 们 中 的 一 些 人 来 说 ， 这 将 有 点 像 是 回 到 我 们 祖 先 的 土 地 上 。 。 。 
str_npc23_signup_2|我 是 个 行 动 派 ， 与 其 纸 上 谈 兵 ， 不 如 亲 赴 战 场 。 若 你 正 在 招 募 善 战 之 士 ， 我 愿 为 你 效 劳 ……当 然 ， 这 需 要 相 应 的 酬 劳 。 
str_npc1_signup_response_1|好 的 。 你 会 对 我 们 很 有 用 。 
str_npc2_signup_response_1|好 的 。 
str_npc3_signup_response_1|呃 ， 那 是 个 开 始 。 我 们 可 以 教 你 剩 余 的 部 分 。 
str_npc4_signup_response_1|很 好 。 我 很 高 兴 你 可 以 加 入 我 们 ， 呃 ， “ 大 人 ” 。 
str_npc5_signup_response_1|当 然 可 以 
str_npc6_signup_response_1|很 高 兴 接 受 你 的 效 劳 ！ 你 的 事 情 就 是 我 的 事 情 ， 我 们 一 起 上 路 。 
str_npc7_signup_response_1|我 会 雇 用 你 。 你 得 试 着 别 在 第 一 天 就 射 到 自 己 人 。 
str_npc8_signup_response_1|欢 迎 加 入 
str_npc9_signup_response_1|嗯 ， 不 会 的 。 我 会 和 他 们 谈 谈 。 
str_npc10_signup_response_1|好 样 的 。 我 们 会 给 你 你 应 得 的 尊 敬 。 
str_npc11_signup_response_1|听 上 去 你 能 派 上 用 场 。 你 被 雇 用 了 。 
str_npc12_signup_response_1|那 么 ， 欢 迎 加 入 我 们 的 队 伍 ， 隐 士 。 
str_npc13_signup_response_1|很 好 。 做 好 准 备 ， 我 们 就 要 出 发 了 。 
str_npc14_signup_response_1|很 好 。 我 很 高 兴 能 招 到 你 这 样 的 。 
str_npc15_signup_response_1|那 么 为 我 工 作 。 我 将 很 高 兴 雇 用 你 。 
str_npc16_signup_response_1|听 上 去 你 能 做 这 份 工 作 。 我 要 雇 用 你 。 
str_npc17_signup_response_1|大 丈 夫 当 如 是 也 ， 欢 迎 和 我 们 上 一 条 船 
str_npc18_signup_response_1|这 实 际 上 是 一 种 健 康 的 生 活 方 式 ， 杀 人 有 益 于 身 心 健 康 
str_npc19_signup_response_1|好 叭 。 。 。 
str_npc20_signup_response_1|我 会 给 你 展 示 一 段 美 好 的 时 光 ， 我 是 说 ， 从 严 格 的 专 业 角 度 来 说 。 
str_npc21_signup_response_1|额 。 。 。 欢 迎 加 入 。 。 。 
str_npc22_signup_response_1|我 们 中 的 一 些 人 是 留 下 来 的 阿 努 伊 族 的 后 代 。 欢 迎 回 家 。 
str_npc23_signup_response_1|要 怎 样 的 酬 劳 ？ 
str_npc1_signup_response_2|我 宁 愿 不 去 冒 这 份 风 险 。 日 安 ， 先 生 。 
str_npc2_signup_response_2|恐 怕 我 只 想 找 一 个 有 经 验 的 。 祝 你 好 运 。 
str_npc3_signup_response_2|事 实 上 ， 我 们 在 找 一 个 有 着 一 套 稍 微 不 同 点 的 技 能 的 。 
str_npc4_signup_response_2|事 实 上 ， 我 们 没 有 雇 用 捏 造 身 世 的 强 盗 的 习 惯 。 日 安 ， 先 生 。 
str_npc5_signup_response_2|事 实 上 ， 经 过 重 新 考 虑 ， 我 更 愿 意 保 持 一 支 有 教 养 的 队 伍 。 
str_npc6_signup_response_2|仔 细 想 想 ， 也 许 你 现 在 可 以 去 尼 姑 庵 碰 碰 运 气 。 
str_npc7_signup_response_2|事 实 上 ， 经 过 重 新 考 虑 ， 听 上 去 你 也 许 有 麻 烦 。 祝 你 好 运 。 
str_npc8_signup_response_2|哦 ， 事 实 上 我 没 时 间 去 信 你 所 谓 的 上 帝 
str_npc9_signup_response_2|你 可 能 错 了 ， 小 姐 。 在 我 的 队 伍 里 只 尊 重 勇 气 和 技 术 ， 而 不 是 贵 族 身 份 。 
str_npc10_signup_response_2|经 过 重 新 考 虑 ， 在 我 的 队 伍 里 对 纪 律 有 很 高 的 要 求 。 祝 你 好 运 。 
str_npc11_signup_response_2|对 不 起 ， 夫 人 。 我 的 队 伍 人 手 已 经 足 够 了 。 
str_npc12_signup_response_2|战 争 和 在 酒 馆 里 打 架 是 两 码 事 。 也 许 你 需 要 在 别 处 找 份 工 作 。 
str_npc13_signup_response_2|事 实 上 ， 经 过 重 新 考 虑 ， 一 个 过 于 渴 望 荣 耀 的 战 士 对 我 的 队 伍 来 说 是 危 险 的 。 
str_npc14_signup_response_2|事 实 上 ， 我 不 想 在 我 的 部 下 当 中 挑 起 一 场 兵 变 。 日 安 ， 先 生 。 
str_npc15_signup_response_2|事 实 上 ， 我 需 要 一 个 有 着 别 的 特 殊 技 能 的 人 。 抱 歉 。 
str_npc16_signup_response_2|说 实 话 ， 我 更 想 招 一 个 盗 窃 欲 望 不 是 那 么 强 烈 的 人 。 
str_npc17_signup_response_2|什 么 河 ？ 事 实 上 ， 算 了 吧 
str_npc18_signup_response_2|我 不 是 真 的 在 找 寻 求 刺 激 的 人 。 。 。 
str_npc19_signup_response_2|额 。 。 。 
str_npc20_signup_response_2|考 虑 考 虑 。 。 。 (呼 )
str_npc21_signup_response_2|呃 。 。 。 算 了 吧 。 别 那 样 看 着 我 。 
str_npc22_signup_response_2|啊 哈 ， 不 ， 忘 了 那 些 话 吧 。 我 们 赶 走 虾 夷 是 有 原 因 的 。 
str_npc23_signup_response_2|啊 哈 。 。 。 算 了 吧 。 
str_npc1_payment|嗨 ， 谢 谢 你 长 官 。 但 是 在 我 加 入 你 之 前 ， 我 想 支 取 {reg3}文 钱 报 酬 。 我 知 道 在 战 队 里 士 兵 会 有 将 近 几 周 看 不 到 工 资 。 我 很 清 楚 在 得 到 自 身 保 障 之 前 不 要 在 任 何 地 方 签 字 。 
str_npc4_payment|好 极 了 。 在 我 们 启 程 之 前 ， 你 可 以 行 个 好 借 给 我 {reg3}文 钱 吗 ？ 我 被 迫 在 {s20}的 典 当 行 抵 押 了 一 件 祖 传 宝 贝 ， 我 想 在 离 开 之 前 先 把 它 赎 回 来 。 
str_npc5_payment|谢 谢 。 现 在 ， 为 了 保 证 我 们 之 间 的 协 议 ， 我 要 求 你 给 我 {reg3}文 钱 。 这 是 我 祖 父 给 我 的 建 议 。 他 告 诉 我 “ 美 菱 ， 永 远 不 要 先 替 野 蛮 人 卖 命 ， 在 {他 /她 }付 给 你 和 你 相 称 的 钱 之 前 。 ”
str_npc7_payment|那 么 好 吧 。 我 会 跟 着 你 走 。 但 是 我 想 先 支 取 {reg3}文 钱 报 酬 。 你 也 没 指 望 我 会 免 费 为 你 工 作 ， 是 吗 ？ 
str_npc8_payment|我 必 须 告 诫 你 ， 我 必 须 按 时 拿 到 薪 俸 。 我 的 职 位 几 十 年 前 就 没 钱 了 。 从 那 以 后 我 们 就 一 直 靠 着 救 济 活 着 。 你 给 我 {reg3} 块 可 以 让 我 继 续 坚 持 下 去 
str_npc9_payment|你 真 是 太 好 了 。 在 我 加 入 之 前 ， 你 能 借 给 我 {reg3}文 钱 吗 ， 那 样 我 就 可 以 买 一 套 和 像 我 这 样 的 贵 族 出 身 的 女 士 相 称 的 衣 服 。 我 身 上 的 外 套 在 我 最 近 不 走 运 期 间 已 经 很 旧 了 ， 我 不 能 让 一 个 普 通 大 兵 错 认 为 我 也 是 他 们 当 中 的 一 员 。 
str_npc10_payment|真 是 个 好 消 息 。 但 是 我 还 有 最 后 一 个 要 求 ， 长 官 。 我 在 {s20}有 个 女 人 ， 一 个 酒 馆 荡 妇 ， 而 她 告 诉 我 她 已 经 有 了 我 的 孩 子 。 我 想 在 走 之 前 给 她 留 点 钱 …… 为 了 那 孩 子 ， 你 知 道 。 你 有 多 余 的 {reg3}文 钱 吗 ？ 
str_npc11_payment|我 会 对 你 很 有 用 的 ， {先 生 /夫 人 }， 我 敢 打 赌 。 我 们 离 开 之 前 还 有 一 件 事 情 ， 你 可 以 借 给 我 {reg3}文 钱 吗 ？ 我 很 羞 愧 这 么 说 ， 但 是 我 欠 这 里 一 点 钱 ， 在 这 个 酒 馆 多 待 了 几 个 星 期 而 酒 馆 老 板 不 相 信 我 会 搞 到 我 答 应 给 他 的 钱 。 你 知 道 ， 如 果 他 们 看 到 我 和 你 离 开 而 没 有 付 钱 会 让 事 情 变 得 难 堪 。 
str_npc13_payment|在 我 签 约 之 前 ， 有 一 小 笔 我 待 在 这 里 期 间 牵 扯 到 的 费 用 ， {reg3}文 钱 。 你 认 为 你 可 以 为 我 代 付 掉 吗 ， 作 为 一 个 表 示 友 好 的 姿 态 ？ 
str_npc14_payment|啊 哈 ， 最 后 一 件 事 。 在 我 听 从 你 的 指 挥 之 前 ， 我 想 要 支 取 {reg3}文 钱 作 为 预 付 奖 金 。 我 的 原 则 是 在 拿 到 我 应 得 的 报 酬 之 前 决 不 为 别 人 服 务 。 
str_npc15_payment|很 好 。 顺 便 ， 作 为 一 名 熟 练 的 弓 箭 手 我 想 为 我 的 服 务 要 一 笔 报 酬 。 我 想 {reg3}文 钱 的 签 约 费 就 够 了 。 
str_npc16_payment|那 真 是 个 好 消 息 ， 长 官 。 那 么 ， 为 我 们 之 间 协 议 的 保 障 先 付 我 一 点 你 看 怎 么 样 ？ 只 要 {reg3}就 够 了 。 别 往 坏 处 想 ， 只 是 我 在 过 去 那 几 个 雇 主 那 儿 都 不 走 运 。 
str_npc17_payment|同 样 地 在 我 们 出 发 之 前 ， 我 要 求 {reg3}块 为 活 动 做 好 准 备 。 
str_npc20_payment|甚 好 ， 甚 好 。 不 过 ， 我 首 先 需 要 {reg3}块 ， 作 为 一 种 保 险 ， 以 防 我 们 在 短 时 间 内 不 进 行 任 何 抢 劫 。 
str_npc21_payment|在 我 们 出 发 之 前 ， 我 需 要 {reg3}块 来 武 装 我 自 己 等 等 。 
str_npc23_payment|我 认 为 {reg3}文 对 于 我 这 样 经 验 丰 富 的 老 兵 来 说 是 个 公 道 的 价 格 。 我 将 为 你 而 战 ， 提 供 战 略 建 议 ， 并 确 保 你 的 每 一 文 钱 都 物 有 所 值 。 你 意 下 如 何 ？ 是 否 愿 意 雇 佣 我 ？ 
str_npc1_payment_response|那 么 好 吧 ， 这 是 {reg3}文 钱 。 现 在 ， 好 好 休 息 一 下 。 
str_npc4_payment_response|当 然 。 这 是 {reg3}文 钱 。 
str_npc5_payment_response|好 吧 …… 那 么 ， 这 是 {reg3}文 钱 。 你 的 第 一 份 报 酬 。 
str_npc7_payment_response|不 ， 当 然 不 。 这 是 {reg3}文 钱 。 
str_npc8_payment_response|噢 ， 我 可 不 是 穷 光 蛋 ， 夫 人 。 这 是 给 你 的 {reg3}文 钱 。 
str_npc9_payment_response|那 么 好 吧 ， 这 是 {reg3}文 钱 。 
str_npc10_payment_response|当 然 。 给 ， {reg3}文 钱 。 
str_npc11_payment_response|那 么 好 吧 ， 这 是 {reg3}文 钱 。 去 做 好 准 备 。 我 们 很 快 就 离 开 。 
str_npc13_payment_response|当 然 ， 这 是 {reg3}文 钱 。 快 点 做 好 出 发 准 备 。 
str_npc14_payment_response|好 吧 ， 这 是 {reg3}文 钱 。 你 在 我 的 队 伍 里 面 最 受 欢 迎 。 
str_npc15_payment_response|好 吧 ， 这 是 {reg3}文 钱 。 很 高 兴 能 让 你 加 入 我 们 。 
str_npc16_payment_response|好 吧 ， 这 是 给 你 的 {reg3}文 钱 。 做 好 准 备 。 
str_npc17_payment_response|这 里 是 {reg3} 块 。 准 备 好 。 我 们 马 上 就 走 。 
str_npc20_payment_response|很 好 ， 这 里 是 {reg3} 块 。 做 好 准 备 。 我 们 马 上 就 走 。 
str_npc21_payment_response|很 好 ， 这 里 是 {reg3} 块 。 做 好 准 备 。 我 们 马 上 就 走 。 
str_npc23_payment_response|很 好 , 这 是 {reg3} 块 . 做 好 准 备 ， 我 们 要 开 拔 了 
str_npc1_morality_speech|唉 ， 老 大 。 请 不 要 把 这 往 坏 处 想 ， 但 这 是 艰 难 时 期 而 我 们 {s21}也 过 分 了 一 点 。 以 后 三 思 一 下 ， 长 官 ， 如 果 你 不 介 意 我 所 说 的 。 
str_npc2_morality_speech|我 希 望 你 不 要 介 意 我 所 说 的 ， 但 是 看 我 们 {s21}对 我 来 说 有 些 困 难 。 也 许 我 应 该 试 着 做 一 个 更 坚 强 些 的 战 士 ， 但 是 如 果 我 们 时 时 能 试 着 学 着 多 一 点 仁 慈 ， 我 会 睡 得 更 踏 实 。 
str_npc3_morality_speech|也 许 轮 不 到 我 说 话 ， {先 生 /夫 人 }， 但 是 我 承 认 对 我 们 {s21}感 到 有 些 震 惊 。 当 然 我 明 白 战 争 史 残 酷 的 ， 但 是 如 果 不 是 必 须 就 没 有 必 要 让 战 争 变 得 更 残 酷 。 
str_npc4_morality_speech|抱 歉 ， 你 也 知 道 ， 梦 想 家 族 的 人 并 不 关 心 {s21}。 我 不 大 愿 意 看 到 你 继 续 这 个 任 务 。 
str_npc5_morality_speech|请 原 谅 ， 长 官 。 {s21}不 好 。 你 的 首 要 对 要 手 下 的 兄 弟 们 负 责 。 你 的 队 伍 想 要 的 只 不 过 是 食 物 、 薪 水 和 掠 夺 的 机 会 。 没 必 要 将 他 们 的 生 命 浪 费 在 无 关 紧 要 的 地 方 。 
