qstr_Next_Page|下 一 页 
qstr_{reg0}_mon_added_to_|{reg0}文 钱 已 添 加 到 金 库 中 。 
qstr_{reg0}_mon_removed_f|{reg0}文 钱 已 从 金 库 中 拿 出 。 
qstr_{s1}_and_{s2}_have_e|{s1}和 {s2}已 经 相 互 结 盟 。 
qstr_{s1}_and_{s2}_have_c|{s1}和 {s2}已 经 缔 结 了 一 个 防 御 协 定 。 
qstr_{s1}_and_{s2}_have_co|{s1}和 {s2}已 经 签 订 了 一 项 贸 易 协 议 。 
qstr_{s1}_and_{s2}_have_con|{s1}和 {s2}已 经 缔 结 了 一 项 非 侵 略 协 定 。 
qstr_{s5}_patrol|{s5}巡 逻 队 
qstr_Transfer_to_{s5}|传 送 到 {s5}
qstr_{s5}_scout|{s5}侦 察 兵 
qstr_{s4}_has_returned_fr|{s4}已 流 亡 返 回 ， 寻 求 {s5}中 {s6}的 庇 护 。 
qstr_{s4}_has_been_grante|{s4}已 获 {s5}的 {s6}赦 免 ， 并 已 从 流 放 返 回 。 
qstr_Given_the_way_things|鉴 于 目 前 我 们 之 间 的 情 况 ， {playername}， 我 认 为 进 行 这 样 的 安 排 是 不 明 智 的 。 
qstr_{playername}_I_am_gr|{playername}， 我 支 持 您 ， 但 是 在 人 们 眼 中 ， 您 没 有 足 够 的 合 法 性 作 为 潜 在 的 共 同 统 治 者 。 
qstr_{playername}_I_know_|{playername}， 我 知 道 如 果 不 是 您 ， 我 不 会 坐 在 这 个 宝 座 上 ， 但 是 您 的 名 字 在 日 本 鲜 为 人 知 。 
qstr_{playername}_I_am_gra|{playername}， 非 常 感 谢 您 在 重 新 获 得 我 应 有 的 位 置 方 面 所 提 供 的 帮 助 ， 但 您 没 有 足 够 的 个 人 财 产 来 满 足 我 的 需 求 。 
qstr_{playername}_I_am_grat|{playername}， 我 感 谢 您 ， 但 是 如 果 我 现 在 接 受 ， 我 将 冒 犯 {s15}之 类 的 武 士 的 风 险 ， 这 些 武 士 可 能 会 认 为 自 己 的 荣 誉 等 于 或 大 于 您 的 荣 誉 。 
qstr_{playername}_I_am_grate|{playername}， 我 感 谢 您 ， 但 是 如 果 我 现 在 接 受 ， 我 将 冒 犯 诸 如 {s15}之 类 的 强 大 武 士 的 风 险 ， 这 些 武 士 可 能 会 认 为 自 己 的 荣 誉 等 于 或 大 于 您 的 荣 誉 。 
qstr_{playername}_while_I|{playername}， 尽 管 我 感 谢 您 ， 但 我 必 须 承 认 我 喜 欢 {s15}。 
qstr_Our_realm_has_too_fe|我 们 的 领 主 太 少 了 。 在 目 前 风 云 突 变 的 情 况 下 ， 我 必 须 利 用 潜 在 的 政 治 联 盟 的 诱 惑 来 吸 引 新 的 附 庸 ， 并 且 还 不 能 被 视 为 致 力 于 任 何 一 个 {reg65？ suitor， candidate}。 
qstr_Because_I_have_insuf|由 于 与 {s15}相 比 ， 我 的 个 人 财 产 不 足 ， 因 此 ， 如 果 我 做 出 这 样 的 安 排 ， 我 可 能 会 冒 成 为 傀 儡 的 危 险 ， 从 而 使 该 领 域 的 稳 定 受 到 威 胁 。 
qstr_Because_my_personal_|由 于 与 {s14}的 其 他 领 主 相 比 ， 我 的 个 人 财 产 不 够 大 ， 因 此 ， 如 果 我 做 出 这 样 的 安 排 ， 我 可 能 会 冒 着 成 为 傀 儡 的 危 险 ， 从 而 使 该 领 域 的 稳 定 受 到 威 胁 。 
qstr_I_am_grateful_to_you|{playername}， 我 非 常 感 谢 您 ， 但 是 在 {s14}的 领 主 中 您 有 太 多 敌 人 ， 因 此 您 的 建 议 在 政 治 上 不 可 行 。 如 果 我 接 受 的 话 ， 可 能 会 有 部 下 起 义 。 
qstr_You_have_engendered_|您 最 近 引 起 了 太 多 争 议 ， {playername}。 
qstr_If_you_desire_to_lea|你 想 与 我 并 肩 领 导 {s14} ， 请 在 我 的 诸 侯 中 寻 求 支 持 ， 以 担 任 总 大 将 ， 并 向 他 们 展 示 您 作 为 战 争 领 袖 的 能 力 。 
qstr_Our_realm_has_lost_t|我 们 的 国 家 失 去 了 太 多 领 土 。 我 们 曾 经 持 有 {s1}， 但 现 在 只 持 有 {s0}。 在 目 前 不 稳 定 的 情 况 下 ， 我 必 须 保 留 一 个 政 治 联 盟 的 可 能 性 ， 作 为 与 其 他 主 权 国 家 谈 判 的 筹 码 ， 因 此 我 仍 然 致 力 于 任 何 单 身 的 人 选 。 恢 复 {s14}以 前 的 荣 耀 ， 我 会 很 高 兴 让 你 在 我 身 边 做 我 的 {丈 夫 /妻 子 }。 
qstr_{s0}_{reg0?have:has}|{s0}已 输 给 其 他 国 家 。 将 {s14}恢 复 到 应 有 的 疆 土 ， 我 很 乐 意 让 您 作 为 我 的 {丈 夫 /妻 子 }在 我 旁 边 统 治 。 
qstr_You_have_only_been_s|您 仅 当 了 {reg0} 天 的 总 大 将 。 在 您 担 任 该 职 位 至 少 两 个 星 期 后 ， 再 让 我 们 来 谈 谈 这 个 问 题 。 
qstr_If_not_for_you_I_wou|如 果 不 适 合 您 ， 我 不 会 在 这 里 ， {playername}。 当 我 们 开 始 长 途 跋 涉 时 ， 很 少 有 人 有 勇 气 支 持 我 。 还 有 更 少 的 人 愿 意 为 我 的 事 业 冒 生 命 危 险 。 但 是 ， 您 毫 不 犹 豫 地 向 着 我 。 我 们 在 一 起 经 历 了 很 多 事 情 ， 最 终 我 们 取 得 了 胜 利 。 我 将 很 高 兴 接 受 您 同 时 担 任 {s14}的 {丈 夫 /妻 子 }和 共 同 统 治 者 。 
qstr_You_sold_{reg1}_{reg|您 将 {reg1} 件 东 西 卖 给 了 {s0}， 并 获 得 了 {reg0}文 钱 ； 
qstr_You_sold_{reg1}_{reg3|您 将 {reg1} 件 东 西 卖 给 了 {s0}， 并 获 得 了 {reg0}文 钱 ； 
qstr_You_have_bought_{reg|您 已 购 买 {reg2}种 食 物 ， 却 损 失 了 {reg1}文 钱 。 
qstr_You_sold_{reg2}_{reg|您 卖 出 了 {reg2}种 腐 烂 的 食 物 ， 并 获 得 了 {reg1}文 钱 
qstr_naginata|薙 刀 
qstr_spear|矛 
qstr_bow|弓 
qstr_sword|剑 
qstr_naginatas|薙 刀 
qstr_spears|长 矛 
qstr_bows|弓 箭 
qstr_swords|剑 
qstr_swing_my_naginata|挥 舞 我 的 薙 刀 
qstr_lift_my_spear|举 起 我 的 矛 
qstr_loose_my_arrows|射 出 我 的 箭 
qstr_swing_my_sword|挥 舞 我 的 剑 
qstr_great_lords|大 名 
qstr_lord|领 主 
qstr_lords|领 主 们 
qstr_goatherd|牧 羊 童 
qstr_swineherd|养 猪 郎 
qstr_stable_{boy/girl}|马 厩 {童 /女 }
qstr_shepherd_{boy/girl}|放 羊 {童 /女 }
qstr_sake|清 酒 
qstr_{reg6?M:m}y_poppet|我 的 宝 贝 
qstr_{reg0?Y:y}ou|你 
qstr_{reg0?M:m}yself|我 
qstr_{reg0?O:o}ur_{s1}_{s|我 的 {s1}{s0}
qstr_{reg0?M:m}y_{s1}_{s0|我 的 {s1}{s0}
qstr_{reg0?Y:y}our_{s1}_{|你 的 {s1}{s0}
qstr_{s2}:_{reg3}_{reg4}_|{s2}， {reg3}， {reg4}日 
qstr_{s4}:_{reg4}|{s4}， {reg4}
qstr_{s1}_gathering_suppo|{s1}( 寻 求 支 持 )
qstr_{s1}__intelligence_|{s1}( 收 集 情 报 )
qstr_{s1}__ambassy_|{s1}( 使 节 )
qstr_{s1}__minister|{s1}( 家 老 )
qstr_{s1}__under_arms_|{s1}( 备 战 中 )
qstr_{s1}__attempting_to_|{s1}( 尝 试 归 队 )
qstr_{s1}__separated_afte|{s1}( 战 后 失 散 )
qstr_{s4}|{s4}
qstr__knows_of_you.|听 说 过 你 。 
qstr__has_no_opinion_abou|对 你 无 特 定 看 法 。 
qstr_{s57}_and_{s50}|{s57}与 {s50}
qstr_Japan.|日 本 
qstr_sworn_man|家 臣 
qstr_ruler|统 治 者 
qstr_free_man|自 由 民 
qstr_{s1}_Renown:_{reg40}|{s1} 声 望 ， {reg40}， 争 议 ， {reg41}^名 誉 ， {reg42}， 统 治 正 当 性 ， {reg43}^你 是 {s45}的 {s44}^{reg45?{reg46?你 的 主 君 {s46}， {s47}， 你 为 {s45}之 统 治 者 }， }^^友 方 ， ^敌 方 ， ^^封 地 ， ^  {reg50?{s50}， 无 封 地 }
qstr_{s1}{s2}_{reg46?Repu|{s1}{s2}{reg46?被 誉 为 是 {s42}:}^声 望 :{reg40},争 议 :{reg41}{reg46?不 耐 烦 :{reg43}:}^{s45}的 {s44}贵 族 ^{reg46?君 臣 :{s46},关 系 :{reg47}:{s45}的 统 治 者 }^^{reg48?当 前 是 {s48}的 俘 虏 :}^自 上 次 见 面 以 来 的 天 数 :{reg49}^^封 地 {reg51?(被 许 诺 封 地 ):}:^{reg50?{s50}:无 封 地 }
qstr_conventional|传 统 的 
qstr_adventurous|冒 险 地 
qstr_otherwordly|空 想 的 
qstr_ambitious|有 雄 心 的 
qstr_moralist|道 德 家 
qstr_just_met|刚 刚 见 面 
qstr_admirer|爱 慕 者 
qstr_promised|许 诺 
qstr_breakup|分 手 
qstr_unknown|未 知 
qstr_Heroic_{s50}|英 勇 的 {s50}
qstr_Allegoric_{s50}|寓 言 的 {s50}
qstr_Comic_{s50}|滑 稽 {s50}
qstr_Mystic_{s50}|神 秘 {s50}
qstr_Tragic_{s50}|悲 惨 的 {s50}
qstr_{s1}{s2}_Controversy|{s1} {s2}争 议 ， {reg41} ^声 誉 ， {s42}， 求 爱 状 态 ， {s43} ^属 于 {s45} ^ {reg46？ 她 的 父 亲 ， {s46}， 她 的 监 护 人 ， {s46}} { s47} ^允 许 访 问 ， {reg45？ 是 ， 否 } {reg48？ 订 婚 于 {s48}， } ^^自 上 次 会 议 以 来 的 天 数 ， {reg49} ^^诗 ， ^ {reg50？ {s50}， 没 有 诗 集 }
qstr_Gathering_support|收 集 支 持 
qstr_Gathering_intelligen|在 {s66} 中 收 集 情 报 
qstr_Ambassy_to_{s66}|派 特 使 前 往 {s66}
qstr_Minister|家 老 
qstr_none|无 
qstr_{s1}_{s2}^Reputation|{s1}， {s2} ^声 誉 ， {s42} ^出 生 于 {s43} ^ {s45}的 {s44}的 联 系 人 。 ^^ {reg48？ 目 前 {s48}的 囚 徒 ， } ^距 离 上 次 交 谈 的 天 数 到 ， {reg49} ^^当 前 任 务 ， ^ {s50} {reg50 ?， 又 回 到 {reg50}天 。 ， }
qstr_{s1}^|{s1}^
qstr_Hold|坚 守 阵 地 
qstr_{s1}_x{reg0}|{s1}x{reg0}
qstr_Hold_Fire|开 火 
qstr_Fire_at_Will|随 意 开 火 
qstr_Use_Shield|使 用 盾 牌 
qstr_Back_10_Paces|后 退 10步 
qstr_One_Handed_Weapons|使 用 单 手 武 器 
qstr_Two_Handed_Weapons|使 用 双 手 武 器 
qstr_Ranged_Weapons|使 用 远 程 武 器 
qstr_{s2}^{s1}|{s2}^{s1}
qstr_No_Position_Orders|无 位 置 命 令 
qstr_No_Weapons_Orders|无 武 器 命 令 
qstr_ready_bows_and_missi|准 备 好 弓 和 箭 
qstr_ready_side_arms|准 备 好 随 身 武 器 
qstr_ready_two_handers|准 备 好 双 手 武 器 
qstr_ready_polearms|准 备 好 长 杆 武 器 
qstr_brandish_shields|挥 舞 盾 牌 
qstr_doff_your_shields|放 下 盾 牌 
qstr_shields_at_will|随 意 使 用 盾 牌 
qstr_avoid_melee|避 免 近 战 
qstr_stand_and_fight|站 在 原 地 战 斗 
qstr_Everyone|所 有 人 
qstr_Your_party_consumed_|你 的 队 伍 消 耗 了 {reg1}个 单 位 的 食 物 {reg4?, {reg4}来 自 觅 食 : }( 还 剩 {reg2}天 ) 。 
qstr_{s2}_managed_to_fora|{s2}设 法 觅 食 {reg4}单 位 的 食 物 补 充 供 给 。 
qstr_Added_money_for_your|为 你 的 老 马 增 加 金 币 。 
qstr_#|#
qstr_{s0}{s1}|{s0}{s1}
qstr_village|村 子 
qstr_town|城 镇 
qstr_castle|城 堡 
qstr_{s0}|{s0}
qstr_{s18}_{s0}|{s18}, {s0}
qstr_No_improvements|无 在 升 级 的 建 筑 
qstr_MNR|MNR
qstr_MIL|MIL
qstr_WT|WT
qstr_SCH|SCH
qstr_MP|MP
qstr_PT|PT
qstr_ERROR|错 误 
qstr_You_have_been_enlist|您 已 入 伍 ！ 
qstr_Current_rank:_{s5}|当 前 排 名 ， {s5}
qstr_You_have_been_allowe|您 已 被 允 许 保 留 您 的 装 备 ！ 
qstr_You_have_left_your_c|您 已 经 离 开 了 指 挥 官 ！ 
qstr_You_have_been_grante|您 已 获 准 假 ！ 
qstr_You_have_rejoined_yo|您 已 重 新 加 入 指 挥 官 队 伍 ！ 
qstr_{s11}_has_left_for_h|{s11}已 启 程 回 家 。 
qstr_{s11}_has_left_to_fi|{s11}已 经 离 开 ， 去 寻 找 更 广 阔 的 天 地 。 
qstr_{s3}_{s2}|{s3}, {s2}
qstr_The_equipment_of_a_{|{s1}， {s2}的 装 备 已 分 配 给 您 。 
qstr_The_equipment_of_a_{s|{s1}， {s2}的 装 备 已 从 您 手 中 拿 走 。 
qstr_You_got_keys_of_dung|你 获 得 了 监 狱 的 钥 匙 。 
qstr__You_taunt_your_enem|你 嘲 讽 你 的 敌 人 ！ 嘲 讽 范 围 是 {reg0}。 
qstr_You_have_received_a_| 
qstr_Breathe_in...|使 劲 吸 一 口 气 ……
qstr_Breathe_out...|使 劲 呼 一 口 气 ……
qstr_You_make_an_effort_t|你 努 力 吸 了 一 口 气 ……
qstr_You_will_recover_fro|你 将 从 这 次 受 伤 中 恢 复 过 来 。 
qstr_You_suffer_a_deep_cu|You will recover from this blow completely.
qstr_You_suffer_a_nasty_c|You will recover from this blow completely.
qstr_You_suffer_a_blow_to|You will recover from this blow completely.
qstr_You_suffer_a_severe_|ZE~ (Congratulations! You found the strings easter egg!)
qstr_You_suffer_a_broken_|You will recover from this blow completely.
qstr_You_suffer_a_broken_r|You will recover from this blow completely.
qstr_You_suffer_a_heavy_b|You will recover from this blow completely.
qstr_You_suffer_a_broken_l|You will recover from this blow completely.
qstr_Press_TAB_to_end_the|按 TAB  键 结 束 战 斗 。 
qstr_You_were_defeated.|进 攻 者 损 坏 了 门 ！ 
qstr_Rotate_with_the_mous|门 的 强 度 降 低 到 {reg5}％ ！ 
qstr_Shift/Control_for_Up|城 门 被 攻 破 ！ 
qstr_Numpad_Plus/Minus_to|城 门 被 攻 破 ！ 
qstr_Sensitivity___25%__{|灵 敏 度 -25％ ( {reg8}， {reg9})
qstr_Sensitivity_+_25%__{|灵 敏 度 + 25％ ( {reg8}， {reg9})
qstr_Everyone_you_know_wh|士 兵 们 ， 你 知 道 该 怎 么 做 ， 坚 守 你 们 的 岗 位 ！ 
qstr_first|第 一 
qstr_second|第 二 
qstr_third|第 三 
qstr_fourth|第 四 
qstr_fifth|第 五 
qstr_current|目 前 
qstr_The_attackers_have_d|进 攻 者 损 坏 了 {s5}大 门 ！ 
qstr_The_{s5}_gate_is_dow|{s5}大 门 的 强 度 降 低 到 {reg5}％ ！ 
qstr_The_last_gate_has_be|最 后 一 道 门 已 被 摧 毁 ！ 
qstr_The_{s5}_gate_has_be|{s5}大 门 已 被 毁 ！ 
qstr_You_must_stay_behind|你 必 须 站 在 线 后 ！ 此 次 攻 击 无 效 。 
qstr_Tutorial|训 练 
qstr__Next_pay_day:_{s1}|下 一 个 发 薪 日 ， {s1}
qstr_{s1}^^Affiliated_to_|{s1} ^^隶 属 于 {s5}
qstr_You_were_raised_as_t|您 作 为 氏 族 家 督 的 孩 子 被 抚 养 长 大 ， 从 小 便 学 习 读 书 写 字 ， 武 艺 剑 道 。 你 年 纪 轻 轻 便 懂 得 了 武 家 的 礼 仪 。 
qstr_You_were_raised_as_th|您 是 家 督 的 孩 子 ， 虽 然 你 年 幼 时 侯 调 皮 捣 蛋 ， 但 还 是 受 人 喜 欢 并 且 得 到 了 氏 族 所 能 提 供 的 最 好 的 教 育 和 培 训 。 
qstr_You_came_into_the_wo|你 作 为 一 个 没 落 贵 族 家 庭 中 的 {reg3?女 儿 :儿 子 }降 生 在 这 个 世 界 上 ， 家 中 只 剩 下 了 一 幢 房 子 还 矗 立 着 ， 记 录 着 已 经 散 去 的 往 日 荣 光 。 不 过 ， 即 使 生 活 困 苦 ， 家 里 依 然 给 予 了 你 很 好 的 教 育 ， 并 从 孩 童 时 期 就 对 你 进 行 严 格 的 行 为 举 止 方 面 的 训 练 。 
qstr_{reg3?daughter:son}|{reg3?女 儿 :儿 子 }
qstr_You_were_a_child_of_|你 是 一 个 下 级 武 士 的 孩 子 ， 既 没 有 真 正 或 伪 造 的 源 氏 或 平 氏 贵 族 血 统 ， 也 没 有 大 块 土 地 或 朝 廷 官 职 。 但 在 你 学 会 走 路 之 前 大 人 们 就 教 你 如 何 用 剑 战 斗 。 
qstr_You_were_born_the_{r|你 是 一 位 旅 行 商 人 的 {reg3?女 儿 :儿 子 }， 为 了 追 寻 利 益 ， 他 们 经 常 从 一 个 地 方 到 另 一 个 地 方 四 处 奔 走 。 即 使 你 的 父 母 比 常 人 富 有 ， 并 且 尽 他 们 所 能 给 予 你 最 好 的 教 育 ， 在 旅 行 中 ， 你 还 是 会 时 常 与 别 人 买 卖 一 些 小 玩 意 ， 并 交 上 一 些 朋 友 。 
qstr_As_a_child_your_fami|在 孩 童 时 期 ， 依 靠 着 父 亲 在 城 中 做 护 卫 的 一 点 微 薄 工 资 ， 你 和 家 人 过 着 艰 苦 而 清 贫 的 生 活 ， 并 且 你 也 支 付 不 起 学 费 ， 所 以 你 主 要 学 习 的 是 如 何 在 不 论 手 中 是 否 握 有 武 器 的 各 种 情 况 下 尽 量 保 护 自 己 。 
qstr_You_were_the_{reg3?d|你 是 一 个 居 住 在 森 林 中 的 家 庭 的 {reg3?女 儿 :儿 子 }在 这 里 你 们 过 着 自 给 自 足 的 生 活 。 对 于 你 家 里 来 说 冬 天 并 不 能 称 之 为 一 个 好 的 季 节 ， 它 带 走 的 不 仅 是 牲 畜 ， 还 有 人 的 性 命 。 不 过 每 天 你 依 然 期 盼 着 下 一 个 黎 明 ， 即 使 你 的 兄 弟 姐 妹 可 能 已 经 看 不 到 那 些 了 。 
qstr_As_the_{reg3?daughte|作 为 盗 贼 的 {reg3?女 儿 :儿 子 }， 你 只 懂 得 很 少 “ 正 规 ” 的 教 育 。 你 从 小 就 在 大 街 上 乞 讨 ， 直 到 学 会 如 何 割 钱 包 ； 之 后 一 直 割 钱 包 ， 直 到 学 会 如 何 解 锁 ， 整 个 童 年 就 是 在 这 样 的 过 程 中 度 过 的 。 经 过 这 些 漫 长 的 岁 月 ， 你 学 会 了 盗 贼 的 生 存 方 式 ， 隐 入 了 城 市 的 阴 暗 巷 道 之 中 。 
qstr_As_a_{reg3?girl:boy}|你 被 送 到 本 地 中 的 一 个 贵 族 家 庭 中 寄 养 。 渐 渐 如 同 其 他 {reg3?女 孩 :男 孩 }一 样 长 大 。 在 那 里 ， 你 在 等 侯 家 主 和 夫 人 的 过 程 中 ， 学 会 第 一 堂 名 为 “ 谦 卑 ” 的 课 程 。 此 外 ， 在 和 他 们 的 对 弈 、 闲 谈 、 甚 至 是 对 伟 大 功 绩 或 高 尚 爱 情 的 诗 赞 中 ， 你 迅 速 地 学 会 了 成 人 世 界 的 争 斗 和 竞 争 。 你 也 会 从 其 他 孩 子 的 野 蛮 游 戏 中 ， 在 他 们 以 木 棒 代 剑 的 对 打 中 ， 学 会 他 们 大 人 的 用 剑 方 法 。 
qstr_As_a_{reg3?girl:boy}_|你 作 为 一 名 本 地 工 匠 的 学 徒 学 会 了 如 何 进 行 买 卖 ， 并 渐 渐 像 其 他 {reg3?女 孩 :男 孩 }一 样 长 大 。 在 数 年 的 努 力 工 作 和 学 习 后 ， 他 升 你 为 正 式 工 匠 ， 付 你 全 薪 直 到 你 决 定 离 开 。 
qstr_As_a_{reg3?girl:boy}_g|你 作 为 一 名 有 钱 的 商 人 的 学 徒 ， 在 多 年 的 交 易 和 行 商 中 挖 掘 出 买 卖 才 能 ， 渐 渐 像 其 他 {reg3?女 孩 :男 孩 }一 样 长 大 。 你 很 快 就 学 会 了 低 入 高 出 ， 并 标 出 让 顾 客 满 意 价 格 的 技 巧 。 
qstr_As_a_{reg3?girl:boy}_gr|你 被 遗 弃 在 大 街 上 为 了 生 存 而 无 所 不 为 ， 却 像 其 他 {reg3?女 孩 :男 孩 }一 样 逐 渐 成 长 。 从 最 初 的 偷 盗 ， 到 仅 仅 只 是 为 了 获 得 一 块 面 包 而 为 那 些 歹 徒 工 作 。 你 每 天 都 在 这 种 残 酷 的 世 界 中 挣 扎 ， 并 总 在 执 法 者 和 病 魔 到 来 之 前 藏 好 自 己 。 
qstr_As_a_{reg3?girl:boy}_gro|童 年 时 你 曾 在 大 草 原 上 骑 着 马 匹 ， 学 习 着 在 草 原 或 沙 漠 之 中 寻 找 方 向 。 在 无 痕 的 大 地 上 虽 然 不 时 挨 饿 ， 你 还 是 成 了 一 名 熟 练 的 猎 人 和 探 险 者 ， 你 的 身 体 也 开 始 布 满 了 结 实 的 肌 肉 —— 这 ， 就 是 作 为 游 牧 之 {reg3?女 :民 }的 生 活 方 式 。 
qstr_As_a_{reg3?girl:boy}_grow|童 年 时 你 住 在 深 山 里 ， 远 离 村 子 。 虽 然 经 常 挨 饿 ， 但 您 在 这 个 无 路 可 走 的 领 国 成 为 了 熟 练 的 猎 人 和 探 路 者 。 当 您 忍 受 艰 苦 的 生 活 时 ， 您 的 身 体 也 开 始 变 强 壮 。 
qstr_As_a_{reg3?girl:boy}_growi|童 年 时 你 父 亲 训 练 了 你 枪 法 与 剑 术 。 
qstr_As_a_{reg3?girl:boy}_growin|童 年 时 你 父 亲 的 军 师 教 你 武 士 道 、 枪 法 以 及 佛 法 。 
qstr_As_a_{reg3?girl:boy}_growing|童 年 时 你 被 送 到 了 这 片 土 地 的 城 堡 之 一 。 在 那 里 ， 你 的 第 一 堂 课 是 谦 卑 ， 因 为 你 侍 奉 了 家 里 的 武 士 和 女 士 。 但 从 他 们 的 将 棋 、 八 卦 ， 甚 至 是 伟 业 和 宫 廷 爱 情 的 诗 歌 中 ， 你 很 快 就 开 始 了 解 冲 突 和 竞 争 的 成 人 世 界 。 
qstr_As_a_{reg3?girl:boy}_growing_|童 年 时 你 被 送 进 了 本 地 领 主 家 中 。 在 那 里 ， 你 的 第 一 堂 课 是 谦 卑 ， 因 为 你 侍 奉 了 家 里 的 武 士 和 女 士 。 但 从 他 们 的 将 棋 、 八 卦 ， 甚 至 是 伟 业 和 爱 情 的 诗 歌 中 ， 你 很 快 就 开 始 了 解 冲 突 和 竞 争 的 成 人 世 界 。 
qstr_As_a_{reg3?girl:boy}_growing_o|童 年 时 你 曾 在 当 地 工 匠 那 里 当 学 徒 ， 学 习 一 门 手 艺 。 在 你 的 新 主 人 多 年 努 力 和 学 习 之 后 ， 他 将 你 提 升 为 熟 练 工 ， 并 雇 佣 你 作 为 一 个 有 薪 水 的 工 匠 ， 只 要 你 愿 意 留 下 来 。 
qstr_As_a_{reg3?girl:boy}_growing_ou|童 年 时 你 曾 在 一 个 富 有 的 商 人 那 里 当 学 徒 ， 多 年 来 从 事 工 坊 的 贸 易 。 您 很 快 就 擅 长 低 买 高 卖 的 艺 术 ， 让 客 户 认 为 他 们 得 到 了 更 好 的 交 易 。 
qstr_As_a_{reg3?girl:boy}_growing_out|童 年 时 你 走 上 街 头 ， 做 任 何 你 必 须 生 存 的 事 情 。 乞 讨 、 偷 窃 和 为 帮 派 工 作 以 赚 取 米 ， 你 日 复 一 日 地 生 活 在 这 个 充 满 暴 力 的 世 界 中 ， 总 是 比 法 律 和 那 些 希 望 你 生 病 的 人 领 先 一 步 。 
qstr_As_a_{reg3?girl:boy}_growing_out_|童 年 时 你 住 在 深 山 里 ， 远 离 城 镇 。 虽 然 经 常 挨 饿 ， 但 您 在 这 个 无 路 可 走 的 领 国 成 为 了 熟 练 的 猎 人 和 探 路 者 。 当 您 忍 受 艰 苦 的 生 活 时 ， 您 的 身 体 也 开 始 变 得 硬 朗 。 
qstr_He_was_cut_down_by_a|烛 火 渐 熄 ， 你 睁 开 眼 ， 盯 着 本 家 的 家 徽 和 家 族 继 承 下 来 的 大 铠 。 现 在 你 是 家 中 的 家 督 ， 是 时 候 书 写 你 的 传 奇 了 ！ 
qstr_Now_you_are_the_head|烛 火 渐 熄 ， 你 睁 开 眼 ， 盯 着 本 家 的 家 徽 和 家 族 继 承 下 来 的 大 铠 。 现 在 你 是 家 中 的 家 督 ， 是 时 候 书 写 你 的 传 奇 了 ！ 
qstr_With_his_passing_you|烛 火 渐 熄 ， 你 睁 开 眼 ， 盯 着 本 家 的 家 徽 和 家 族 继 承 下 来 的 大 铠 。 现 在 你 是 家 中 的 家 督 ， 是 时 候 书 写 你 的 传 奇 了 ！ 
qstr_As_the_only_Daimyo_w|烛 火 渐 熄 ， 你 睁 开 眼 ， 盯 着 本 家 的 家 徽 和 家 族 继 承 下 来 的 大 铠 。 现 在 你 是 家 中 的 家 督 ， 是 时 候 书 写 你 的 传 奇 了 ！ 
qstr_Now_you_lead_to_peop|寺 里 烛 火 渐 渐 熄 灭 ， 东 方 的 地 平 线 升 起 了 轮 日 。 你 作 为 法 主 ， 注 视 着 这 个 凄 惨 纷 乱 的 国 家 。 一 个 想 法 在 你 脑 中 逐 渐 显 现 ……一 个 百 姓 之 国 ， 一 个 地 上 佛 国 ， 一 个 没 有 武 士 来 剥 削 和 压 迫 的 国 家 ！ 你 相 信 这 是 佛 祖 的 指 引 ！ 是 时 候 领 导 那 些 被 武 士 压 迫 的 百 姓 们 奋 起 抵 抗 了 ！ 
qstr_{reg3?daughter:man}|{reg3?女 人 :男 人 }
qstr_Though_the_distincti|尽 管 阶 级 高 下 如 此 悬 殊 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 个 {reg3?女 人 :男 人 }， 整 个 世 界 将 因 你 而 改 变 。 作 为 一 个 贵 族 的 护 卫 ， 你 长 时 间 的 练 习 各 种 武 器 ， 学 习 如 何 出 击 和 招 架 。 被 教 导 要 对 主 人 效 忠 ， 以 及 对 那 些 将 来 可 能 成 为 你 属 下 的 人 负 责 。 在 学 习 武 士 道 的 时 候 ， 从 那 些 前 辈 的 故 事 中 你 也 知 道 了 不 怎 么 光 彩 的 一 面 ， 残 忍 的 强 权 政 治 、 背 叛 和 篡 夺 ， 以 及 为 了 目 的 不 择 手 段 。 
qstr_{reg3?woman:man}|{reg3?女 人 :男 人 }
qstr_Though_the_distinctio|尽 管 阶 级 高 下 如 此 悬 殊 ， 你 仍 然 在 某 种 力 量 的 指 引 下 成 为 一 名 {reg3?女 人 :男 人 }， 你 身 边 的 整 个 世 界 似 乎 都 变 了 。 你 进 入 了 上 层 女 士 的 紧 密 圈 子 ， 她 们 全 是 真 正 的 淑 女 ， 包 括 贵 夫 人 以 及 未 婚 千 金 。 不 论 如 何 ， 你 总 是 在 女 士 们 在 大 厅 里 穿 着 为 求 显 赫 和 争 红 斗 艳 的 吸 引 男 子 眼 球 的 潮 流 妆 扮 中 嗅 到 政 治 的 味 道 。 你 很 快 学 习 到 将 这 些 情 景 和 举 动 变 为 自 己 优 势 的 方 法 。 这 将 让 令 你 重 新 认 识 自 己 ， 并 让 你 了 解 ， 假 如 你 在 这 方 面 花 些 功 夫 的 话 ， 将 会 对 世 界 产 生 巨 大 的 影 响 。 
